day,median_time_in_port,average_time_in_port
1/1/2022,40.85,995.916206
1/2/2022,53.98333333,961.4077457
1/3/2022,51.35,1079.327501
1/4/2022,47.98333333,931.3146749
1/5/2022,38.35,843.3225155
1/6/2022,40.3,746.7098866
1/7/2022,48.31666667,771.4247292
1/8/2022,40.9,569.1239258
1/9/2022,48.51666667,680.3817245
1/10/2022,38.16666667,683.8628232
1/11/2022,45.9,919.770226
1/12/2022,48.31666667,864.7215195
1/13/2022,47.98333333,886.8494293
1/14/2022,35.36666667,1000.321859
1/15/2022,40.35,859.3952765
1/16/2022,40.35,856.8605593
1/17/2022,48.16666667,902.8995293
1/18/2022,48,690.6536761
1/19/2022,49.85,886.1221298
1/20/2022,42.18333333,906.4245255
1/21/2022,39.28333333,811.0862935
1/22/2022,49.25,978.4917039
1/23/2022,44.01666667,997.7703554
1/24/2022,40.5,624.3465371
1/25/2022,50.55,831.8806091
1/26/2022,41.48333333,731.3728452
1/27/2022,45.16666667,966.8108287
1/28/2022,48.01666667,859.9193078
1/29/2022,35.98333333,743.3380807
1/30/2022,30.28333333,575.2817586
1/31/2022,30.73333333,787.682936
2/1/2022,32.96666667,691.3018608
2/2/2022,30.33333333,1037.800011
2/3/2022,31,823.7590617
2/4/2022,34.53333333,813.5436867
2/5/2022,36.01666667,724.3022246
2/6/2022,30.4,698.6008702
2/7/2022,38.98333333,792.0620986
2/8/2022,32.83333333,618.6321198
2/9/2022,29.2,676.7771838
2/10/2022,30.4,801.5224339
2/11/2022,30.68333333,915.6900385
2/12/2022,42.85,828.5192125
2/13/2022,50.35,1021.065972
2/14/2022,44,857.9011369
2/15/2022,40.71666667,1351.979005
2/16/2022,40.3,964.9212756
2/17/2022,33.5,961.698401
2/18/2022,42.1,755.2600292
2/19/2022,40.68333333,969.121861
2/20/2022,40.68333333,761.9763569
2/21/2022,50.31666667,1059.680332
2/22/2022,47.45,742.0914206
2/23/2022,48.03333333,989.4843484
2/24/2022,50.3,975.8444017
2/25/2022,47.68333333,717.5168028
2/26/2022,42.05,734.6598417
2/27/2022,39,695.7780458
2/28/2022,51,761.8136578
3/1/2022,51.01666667,834.9141004
3/2/2022,48.18333333,1227.396589
3/3/2022,44.91666667,993.1659817
3/4/2022,39.98333333,777.7545752
3/5/2022,42.03333333,943.9957823
3/6/2022,45.01666667,893.0038356
3/7/2022,47.96666667,773.0391885
3/8/2022,41.31666667,1009.385469
3/9/2022,39.5,650.039215
3/10/2022,40.98333333,1070.176062
3/11/2022,50.51666667,1034.268974
3/12/2022,40.66666667,828.1258642
3/13/2022,45,1052.222272
3/14/2022,41.51666667,896.5837477
3/15/2022,47.95,928.5154499
3/16/2022,50.18333333,917.645999
3/17/2022,42.03333333,884.6692013
3/18/2022,40.33333333,928.4545581
3/19/2022,44.8,718.3542868
3/20/2022,43.13333333,787.5183198
3/21/2022,35.86666667,757.5341812
3/22/2022,47.36666667,1079.76121
3/23/2022,54.03333333,975.2240053
3/24/2022,51.01666667,1030.841234
3/25/2022,57.66666667,1098.364749
3/26/2022,48.01666667,719.2806217
3/27/2022,51.1,1139.993251
